(-9.6151138671875, -0.8714894042968749, -0.2920926025390625);(-3.9264907226562498, 8.518569506835936, 4.924872814941406)
(-9.605537060546874, -0.9097966308593749, -0.2346317626953125);(-3.574543078613281, 8.520963708496094, 5.013458276367187)
(-9.452308154296874, -0.8858546142578124, -0.2561795776367187);(-3.6655227416992187, 8.664615808105468, 5.272032055664062)
(-9.583989245605467, -0.8571241943359375, -0.20350714111328125);(-3.756502404785156, 8.403647827148436, 5.181052392578125)
(-9.555258825683593, -0.8020575561523438, -0.19393033447265623);(-3.6559459350585937, 9.038111267089842, 4.797980126953124)
(-9.567229833984374, -0.8667010009765624, -0.2657563842773437);(-3.9408559326171875, 8.499415893554687, 5.027823486328125)
(-9.550470422363281, -0.7685387329101562, -0.1867477294921875);(-3.5529952636718747, 8.767566479492187, 4.948814831542968)
(-9.536105212402344, -0.8690952026367187, -0.22505495605468748);(-3.076549133300781, 7.268796240234375, 2.901772412109375)
(-9.579200842285156, -0.8714894042968749, -0.20829554443359374);(-4.161122485351562, 9.02135185546875, 4.620809204101562)
(-9.562441430664062, -0.8738836059570312, -0.18435352783203124);(-4.44363828125, 8.355763793945313, 4.92247861328125)
(-9.562441430664062, -0.8212111694335937, -0.1580173095703125);(-4.515464331054687, 8.33182177734375, 4.836287353515624)
(-9.555258825683593, -0.8906430175781249, -0.21787235107421873);(-4.211400720214844, 8.106766821289062, 5.106832141113281)
(-9.528922607421874, -0.852335791015625, -0.24181436767578124);(-4.350264416503906, 8.339004382324218, 5.137956762695312)
(-9.552864624023437, -0.8283937744140625, -0.25139117431640623);(-4.6255976074218745, 8.786720092773438, 5.212177014160156)
(-9.651026892089844, -0.9337386474609375, -0.2753331909179687);(-4.5968671875, 8.465897070312499, 5.212177014160156)
(-9.555258825683593, -0.8978256225585937, -0.18914193115234373);(-4.259284753417968, 8.190563879394531, 5.1140147460937495)
(-9.636661682128906, -0.8068459594726562, -0.22505495605468748);(-4.292803576660156, 8.310273962402343, 5.257666845703125)
(-9.651026892089844, -0.8930372192382812, -0.1580173095703125);(-4.113238452148437, 8.513781103515624, 4.951209033203125)
(-9.619902270507811, -0.8930372192382812, -0.25139117431640623);(-4.082113830566406, 8.358157995605469, 5.272032055664062)
(-9.476250170898437, -0.8906430175781249, -0.3016694091796875);(-4.173093493652344, 8.252813122558594, 5.164292980957031)
(-9.548076220703125, -0.8882488159179687, -0.19393033447265623);(-4.039018200683594, 8.355763793945313, 5.161898779296875)
(-9.6151138671875, -0.86191259765625, -0.29927520751953124);(-3.8690298828125, 8.506598498535157, 5.2648494506835934)
(-9.560047229003906, -0.8403647827148437, -0.229843359375);(-3.763685009765625, 8.468291271972657, 5.396530541992187)
(-9.617508068847656, -0.9552864624023437, -0.2346317626953125);(-4.096479040527344, 8.377311608886718, 5.353434912109375)
(-9.555258825683593, -0.8930372192382812, -0.33758243408203126);(-4.256890551757812, 8.197746484375, 5.442020373535156)
(-9.588777648925781, -0.8906430175781249, -0.239420166015625);(-4.254496350097656, 8.13310303955078, 5.248090039062499)
(-9.504980590820312, -0.8571241943359375, -0.21787235107421873);(-4.472368701171875, 8.214505895996094, 5.303156677246093)
(-9.651026892089844, -0.9193734375, -0.2705447875976562);(-4.5968671875, 8.317456567382813, 5.334281298828125)
(-9.574412438964844, -0.852335791015625, -0.23223756103515625);(-4.352658618164062, 8.200140686035155, 5.324704492187499)
(-9.583989245605467, -0.8786720092773437, -0.2657563842773437);(-4.50109912109375, 8.329427575683594, 5.260061047363281)
(-9.516951599121093, -0.8499415893554687, -0.28490999755859375);(-4.927267016601562, 8.145074047851562, 5.023035083007812)
(-9.528922607421874, -0.9265560424804687, -0.22505495605468748);(-4.8123453369140625, 7.989450939941406, 5.157110375976562)
(-9.53131680908203, -0.8690952026367187, -0.26336218261718747);(-4.7884033203125, 8.300697155761718, 5.4013189453125)
(-9.552864624023437, -0.7805097412109374, -0.15562310791015624);(-4.587290380859375, 8.645462194824217, 5.418078356933593)
(-9.555258825683593, -0.8403647827148437, -0.21068974609375);(-4.331110803222656, 8.494627490234375, 5.949591125488281)
(-9.617508068847656, -0.842758984375, -0.258573779296875);(-4.115632653808594, 8.319850769042969, 5.8610056640625)
(-9.572018237304688, -0.8738836059570312, -0.229843359375);(-4.182670300292968, 8.070853796386718, 5.506663818359375)
(-9.540893615722656, -0.833182177734375, -0.22026655273437498);(-4.359841223144531, 7.285555651855469, 5.336675500488281)
(-9.53131680908203, -0.9074024291992187, -0.38786066894531246);(-4.489128112792969, 7.864952453613281, 5.798756420898437)
(-9.648632690429688, -0.8786720092773437, -0.19153613281249998);(-4.860229370117187, 7.9463553100585935, 5.6024318847656245)
(-9.574412438964844, -0.9097966308593749, -0.19393033447265623);(-5.123591552734375, 7.769184387207031, 5.549759448242187)
(-9.560047229003906, -0.8164227661132812, -0.22026655273437498);(-4.716577270507813, 8.36294639892578, 5.035006091308594)
(-9.631873278808593, -0.9552864624023437, -0.2346317626953125);(-4.8650177734375, 8.109161022949218, 5.600037683105469)
(-9.643844287109374, -0.8882488159179687, -0.22744915771484372);(-4.939238024902344, 7.881711865234375, 5.45877978515625)
(-9.540893615722656, -0.7829039428710937, -0.38786066894531246);(-4.948814831542968, 7.917624890136718, 5.109226342773437)
(-9.516951599121093, -0.9959878906249999, -0.21068974609375);(-4.771643908691406, 7.917624890136718, 5.1140147460937495)
(-9.562441430664062, -0.8714894042968749, -0.296881005859375);(-4.800374328613281, 8.003816149902343, 5.023035083007812)
(-9.567229833984374, -0.8906430175781249, -0.25139117431640623);(-4.76924970703125, 7.8362220336914055, 5.137956762695312)
(-9.536105212402344, -0.8547299926757812, -0.22505495605468748);(-4.697423657226563, 8.003816149902343, 5.365405920410156)
(-9.579200842285156, -0.8667010009765624, -0.28012159423828126);(-4.5322237426757805, 7.8912886718749995, 5.4707507934570305)
(-9.56962403564453, -0.9002198242187499, -0.2537853759765625);(-4.826710546875, 8.068459594726562, 5.312733483886719)
(-9.603142858886718, -0.8738836059570312, -0.2609679809570312);(-4.853046765136718, 7.9463553100585935, 5.214571215820312)
(-9.555258825683593, -0.8858546142578124, -0.3016694091796875);(-4.821922143554687, 8.039729174804688, 5.774814404296874)
(-9.579200842285156, -0.8379705810546875, -0.3016694091796875);(-4.948814831542968, 8.049305981445311, 5.5258174316406246)
(-9.593566052246093, -0.8667010009765624, -0.3136404174804687);(-5.054159704589844, 7.9104422851562495, 5.42047255859375)
