(-9.562441430664062, -0.8714894042968749, -0.3495534423828125);(-0.258573779296875, 9.13627353515625, 5.9783215454101555)
(-9.583989245605467, -0.8164227661132812, -0.17238251953125);(-0.2346317626953125, 9.176974963378905, 6.002263562011718)
(-9.56962403564453, -0.8475473876953125, -0.1771709228515625);(-0.28969840087890625, 9.157821350097656, 5.928043310546875)
(-9.612719665527344, -0.8092401611328125, -0.20350714111328125);(-0.30885201416015623, 9.30147344970703, 5.7508723876953125)
(-9.651026892089844, -0.8571241943359375, -0.2609679809570312);(-0.2920926025390625, 9.208099584960937, 5.911283898925781)
(-9.598354455566406, -0.8834604125976562, -0.30885201416015623);(-0.24899697265624998, 9.284714038085937, 5.734112976074218)
(-9.548076220703125, -0.9026140258789062, -0.24660277099609373);(-0.24660277099609373, 9.2320416015625, 5.983109948730468)
(-9.557653027343749, -0.833182177734375, -0.38307226562499996);(-0.20350714111328125, 9.327809667968749, 5.882553479003906)
(-9.567229833984374, -0.8882488159179687, -0.19871873779296872);(-0.20350714111328125, 9.203311181640624, 5.813121630859374)
(-9.605537060546874, -0.8643067993164062, -0.26815058593749996);(-0.229843359375, 9.342174877929686, 5.851428857421874)
(-9.552864624023437, -0.8307879760742187, -0.2154781494140625);(-0.24660277099609373, 9.248801013183593, 5.779602807617187)
(-9.581595043945311, -0.8355763793945312, -0.26336218261718747);(-0.2705447875976562, 9.325415466308593, 5.877765075683594)
(-9.528922607421874, -0.8834604125976562, -0.06464344482421874);(-0.21787235107421873, 9.296685046386719, 5.755660791015624)
(-9.612719665527344, -0.8499415893554687, -0.239420166015625);(-0.2825157958984375, 9.212887988281249, 5.9017070922851556)
(-9.579200842285156, -0.9002198242187499, -0.17956512451171874);(-0.258573779296875, 9.289502441406249, 5.810727429199218)
(-9.579200842285156, -0.8379705810546875, -0.1771709228515625);(-0.28969840087890625, 9.236830004882812, 5.837063647460937)
(-9.552864624023437, -0.8571241943359375, -0.29448680419921874);(-0.277727392578125, 9.208099584960937, 5.834669445800781)
(-9.574412438964844, -0.8810662109374999, -0.21787235107421873);(-0.2537853759765625, 9.234435803222656, 5.736507177734374)
(-9.495403784179686, -0.928950244140625, -0.21068974609375);(-0.28012159423828126, 9.265560424804686, 5.734112976074218)
(-9.639055883789062, -0.9361328491210937, -0.3016694091796875);(-0.26815058593749996, 9.258377819824219, 5.791573815917968)
(-9.6151138671875, -0.8882488159179687, -0.2561795776367187);(-0.18914193115234373, 9.311050256347656, 5.758054992675781)
(-9.648632690429688, -0.8283937744140625, -0.24899697265624998);(-0.20350714111328125, 9.253589416503905, 5.7317187744140625)
(-9.524134204101562, -0.8092401611328125, -0.29927520751953124);(-0.16280571289062498, 9.284714038085937, 5.705382556152343)
(-9.562441430664062, -0.8355763793945312, -0.296881005859375);(-0.19393033447265623, 9.229647399902344, 5.722141967773437)
(-9.526528405761718, -0.8738836059570312, -0.2442085693359375);(-0.27293898925781246, 9.253589416503905, 5.748478186035156)
(-9.526528405761718, -0.8307879760742187, -0.2537853759765625);(-0.28969840087890625, 9.210493786621093, 5.705382556152343)
(-9.610325463867188, -0.8212111694335937, -0.24660277099609373);(-0.19393033447265623, 9.22485899658203, 5.813121630859374)
(-9.567229833984374, -0.8475473876953125, -0.24660277099609373);(-0.29448680419921874, 9.337386474609374, 5.6191912963867185)
(-9.524134204101562, -0.8212111694335937, -0.2561795776367187);(-0.22505495605468748, 9.275137231445312, 5.774814404296874)
(-9.550470422363281, -0.9217676391601562, -0.2346317626953125);(-0.23702596435546874, 9.313444458007812, 5.626373901367187)
(-9.555258825683593, -0.8547299926757812, -0.29448680419921874);(-0.229843359375, 9.272743029785156, 5.7077767578125)
(-9.600748657226562, -0.8834604125976562, -0.16280571289062498);(-0.19153613281249998, 9.258377819824219, 5.674257934570313)
(-9.600748657226562, -0.9217676391601562, -0.17238251953125);(-0.19153613281249998, 9.272743029785156, 5.659892724609374)
(-9.598354455566406, -0.8475473876953125, -0.44053310546874996);(-0.229843359375, 9.30147344970703, 5.693411547851563)
(-9.550470422363281, -0.8571241943359375, -0.4070142822265625);(-0.016759411621093748, 9.236830004882812, 5.7700260009765625)
(-9.562441430664062, -0.8188169677734375, -0.30885201416015623);(-0.16519991455078123, 9.303867651367186, 5.595249279785156)
(-9.574412438964844, -0.8738836059570312, -0.28969840087890625);(-0.143652099609375, 9.291896643066405, 5.61200869140625)
(-9.564835632324218, -0.8882488159179687, -0.2657563842773437);(-0.27293898925781246, 9.22485899658203, 5.475539196777343)
(-9.56962403564453, -0.8475473876953125, -0.2753331909179687);(-0.3136404174804687, 9.279925634765624, 5.578489868164062)
(-9.543287817382812, -1.0127473022460938, -0.2609679809570312);(-0.3447650390625, 9.433154541015625, 5.793968017578124)
(-9.516951599121093, -0.8403647827148437, -0.28969840087890625);(-0.3327940307617187, 9.495403784179686, 5.851428857421874)
(-9.387664709472656, -0.814028564453125, -0.22266075439453123);(-0.3399766357421875, 9.337386474609374, 5.791573815917968)
(-9.543287817382812, -0.8595183959960937, -0.1771709228515625);(-0.3327940307617187, 9.267954626464844, 5.628768103027343)
(-9.543287817382812, -0.8451531860351562, -0.2442085693359375);(-0.33758243408203126, 9.138667736816405, 5.53539423828125)
(-9.540893615722656, -0.8690952026367187, -0.3184288208007812);(-0.296881005859375, 9.26316622314453, 5.755660791015624)
(-9.605537060546874, -0.8547299926757812, -0.44532150878906246);(-0.05985504150390625, 9.428366137695312, 5.865794067382812)
(-9.536105212402344, -0.9097966308593749, -0.21308394775390624);(-0.07900865478515624, 9.545682019042967, 5.8610056640625)
(-9.545682019042967, -0.8906430175781249, -0.2657563842773437);(-0.009576806640625, 9.375693701171874, 5.679046337890624)
(-9.526528405761718, -0.9002198242187499, -0.2920926025390625);(-0.10773907470703124, 9.320627062988281, 5.68862314453125)
(-9.507374792480467, -0.82360537109375, -0.2657563842773437);(-0.25139117431640623, 9.291896643066405, 5.492298608398437)
(-9.509768994140625, -0.8667010009765624, -0.21787235107421873);(-0.19632453613281248, 9.327809667968749, 5.662286926269531)
(-9.540893615722656, -0.86191259765625, -0.2154781494140625);(-0.20350714111328125, 9.10993731689453, 5.746083984375)
(-9.504980590820312, -0.8307879760742187, -0.181959326171875);(-0.076614453125, 9.1554271484375, 5.872976672363281)
(-9.6151138671875, -0.9193734375, -0.24181436767578124);(-0.15562310791015624, 9.311050256347656, 5.944802722167968)
(-9.588777648925781, -0.7757213378906249, -0.2346317626953125);(-0.10773907470703124, 9.260772021484375, 5.9591679321289055)
(-9.591171850585937, -0.8738836059570312, -0.21787235107421873);(-0.1388636962890625, 9.2320416015625, 5.913678100585937)
(-9.562441430664062, -0.9193734375, -0.21308394775390624);(-0.21308394775390624, 9.234435803222656, 5.97592734375)
(-9.53131680908203, -0.9169792358398436, -0.28490999755859375);(-0.4165910888671875, 9.325415466308593, 6.066907006835937)
(-9.368511096191405, -0.9552864624023437, -0.26336218261718747);(-0.19632453613281248, 8.99501563720703, 5.849034655761718)
(-9.579200842285156, -0.7733271362304687, -0.34237083740234375);(0.2705447875976562, 8.913612780761719, 5.968744738769531)
(-9.53131680908203, -0.8834604125976562, -0.2753331909179687);(0.023942016601562498, 9.10993731689453, 5.875370874023437)
(-9.605537060546874, -0.8786720092773437, -0.3064578125);(-0.011971008300781249, 9.251195214843749, 6.203376501464843)
(-9.595960253906249, -0.7781155395507812, -0.0430956298828125);(-0.12449848632812499, 9.038111267089842, 6.093243225097656)
(-9.543287817382812, -0.8762778076171874, -0.258573779296875);(-0.023942016601562498, 9.064447485351561, 5.980715747070312)
(-9.540893615722656, -1.0295067138671874, -0.258573779296875);(-0.02633621826171875, 9.047688073730468, 6.119579443359375)
(-9.593566052246093, -0.8643067993164062, -0.2753331909179687);(-0.1388636962890625, 9.069235888671875, 6.172251879882812)
(-9.612719665527344, -0.8499415893554687, -0.3232172241210937);(-0.354341845703125, 9.303867651367186, 6.198588098144531)
(-9.548076220703125, -0.8643067993164062, -0.19632453613281248);(-0.36391865234375, 9.121908325195312, 6.121973645019531)
(-9.543287817382812, -0.8164227661132812, -0.19632453613281248);(-0.36391865234375, 8.978256225585938, 5.968744738769531)
(-9.502586389160156, -0.8188169677734375, -0.2561795776367187);(-0.23223756103515625, 9.09796630859375, 5.743689782714843)
(-9.579200842285156, -0.8403647827148437, -0.22744915771484372);(-0.201112939453125, 9.131485131835937, 5.853823059082031)
(-9.586383447265625, -0.8667010009765624, -0.28490999755859375);(-0.18914193115234373, 9.076418493652342, 6.186617089843749)
(-9.610325463867188, -0.852335791015625, -0.28490999755859375);(-0.28730419921875, 9.131485131835937, 6.363788012695312)
(-9.545682019042967, -0.9145850341796874, -0.27293898925781246);(-0.15322890625, 9.126696728515624, 6.268019946289062)
(-9.56962403564453, -0.8643067993164062, -0.2705447875976562);(-0.16041151123046873, 9.117119921875, 6.136338854980468)
