(-9.509768994140625, 1.209071838378906, -0.5027823486328125);(0.14604630126953125, 9.236830004882812, 5.781997009277344)
(-9.507374792480467, 1.0366893188476562, -0.4836287353515625);(0.0526724365234375, 9.229647399902344, 5.911283898925781)
(-9.507374792480467, 0.9265560424804687, -0.41419688720703124);(0.1005564697265625, 9.272743029785156, 5.791573815917968)
(-9.495403784179686, 1.0773907470703123, -0.6081272216796875);(0.016759411621093748, 9.255983618164063, 5.674257934570313)
(-9.53131680908203, 1.0223241088867188, -0.44532150878906246);(0.011971008300781249, 9.3086560546875, 5.576095666503906)
(-9.53131680908203, 1.0797849487304687, -0.47165772705078124);(0.023942016601562498, 9.344569079589844, 5.705382556152343)
(-9.543287817382812, 1.0821791503906248, -0.47165772705078124);(-0.0143652099609375, 9.311050256347656, 5.664681127929687)
(-9.545682019042967, 1.20667763671875, -0.4477157104492187);(-0.12689268798828124, 9.485826977539062, 5.626373901367187)
(-9.495403784179686, 1.1061211669921875, -0.5458779785156249);(-0.040701428222656245, 9.313444458007812, 5.633556506347656)
(-9.481038574218749, 1.0199299072265624, -0.507570751953125);(0.0047884033203125, 9.332598071289063, 5.659892724609374)
(-9.567229833984374, 1.1061211669921875, -0.4836287353515625);(-0.062249243164062495, 9.366116894531249, 5.746083984375)
(-9.504980590820312, 1.0558429321289062, -0.46686932373046874);(-0.05985504150390625, 9.351751684570312, 5.734112976074218)
(-9.543287817382812, 1.024718310546875, -0.37828386230468747);(0.011971008300781249, 9.241618408203124, 5.772420202636718)
(-9.516951599121093, 1.0893617553710937, -0.5291185668945312);(0.0143652099609375, 9.272743029785156, 5.7508723876953125)
(-9.351751684570312, 1.0773907470703123, -0.35194764404296874);(0.009576806640625, 9.306261853027344, 5.767631799316406)
(-9.591171850585937, 1.0606313354492187, -0.5793968017578125);(-0.055066638183593745, 9.351751684570312, 5.7077767578125)
(-9.512163195800781, 1.1923124267578125, -0.33039982910156246);(-0.05985504150390625, 9.279925634765624, 5.736507177734374)
(-9.552864624023437, 1.1180921752929687, -0.565031591796875);(-0.0047884033203125, 9.380482104492186, 5.700594152832031)
(-9.624690673828125, 0.9457096557617187, -0.39264907226562495);(0.00718260498046875, 9.253589416503905, 5.734112976074218)
(-9.540893615722656, 1.209071838378906, -0.4860229370117187);(0.0143652099609375, 9.294290844726563, 5.84185205078125)
(-9.557653027343749, 0.9888052856445312, -0.6057330200195312);(-0.031124621582031248, 9.291896643066405, 5.7125651611328125)
(-9.526528405761718, 1.0342951171875, -0.411802685546875);(-0.1149216796875, 9.220070593261719, 5.925649108886718)
(-9.507374792480467, 1.0606313354492187, -0.4836287353515625);(-0.05027823486328125, 9.318232861328125, 5.674257934570313)
(-9.651026892089844, 1.120486376953125, -0.49320554199218747);(0.05985504150390625, 9.294290844726563, 5.762843395996094)
(-9.576806640625, 1.0079588989257813, -0.48123453369140623);(-0.040701428222656245, 9.279925634765624, 5.758054992675781)
(-9.528922607421874, 1.0630255371093749, -0.49320554199218747);(0.011971008300781249, 9.330203869628905, 5.777208605957031)
(-9.591171850585937, 1.0797849487304687, -0.5291185668945312);(-0.02633621826171875, 9.265560424804686, 5.762843395996094)
(-9.526528405761718, 1.0654197387695312, -0.469263525390625);(-0.0526724365234375, 9.279925634765624, 5.817910034179687)
(-9.536105212402344, 1.1180921752929687, -0.4572925170898437);(-0.028730419921875, 9.227253198242186, 5.884947680664062)
(-9.354145886230468, 1.216254443359375, -0.5626373901367188);(-0.031124621582031248, 9.255983618164063, 5.7700260009765625)
(-9.562441430664062, 1.0869675537109373, -0.4908113403320312);(-0.016759411621093748, 9.222464794921875, 5.693411547851563)
(-9.540893615722656, 1.0941501586914062, -0.5889736083984375);(-0.02154781494140625, 9.2320416015625, 5.691017346191406)
(-9.442731347656249, 1.0726023437499999, -0.47644613037109373);(-0.023942016601562498, 9.248801013183593, 5.76523759765625)
(-9.512163195800781, 1.0893617553710937, -0.3280056274414062);(-0.05027823486328125, 9.289502441406249, 5.813121630859374)
(-9.502586389160156, 1.1085153686523437, -0.47644613037109373);(0.00239420166015625, 9.289502441406249, 5.796362219238281)
(-9.519345800781249, 1.0678139404296874, -0.4213794921875);(0.0, 9.272743029785156, 5.777208605957031)
(-9.459490759277344, 1.0893617553710937, -0.47884033203125);(0.01915361328125, 9.30147344970703, 5.8083332275390624)
(-9.526528405761718, 1.0678139404296874, -0.4381389038085937);(0.02154781494140625, 9.229647399902344, 5.786785412597656)
(-9.648632690429688, 1.0271125122070313, -0.3232172241210937);(0.0047884033203125, 9.203311181640624, 5.810727429199218)
(-9.512163195800781, 1.1013327636718748, -0.59376201171875);(0.08379705810546874, 9.260772021484375, 5.729324572753906)
(-9.65342109375, 1.2138602416992186, -0.3806780639648437);(-0.023942016601562498, 9.26316622314453, 5.774814404296874)
(-9.433154541015625, 1.1444283935546875, -0.42377369384765623);(-0.016759411621093748, 9.251195214843749, 5.793968017578124)
(-9.452308154296874, 1.216254443359375, -0.46686932373046874);(0.02633621826171875, 9.26316622314453, 5.7891796142578125)
