(-9.524134204101562, -1.2856862915039062, -0.24899697265624998);(-2.750937707519531, 9.208099584960937, 4.311957189941406)
(-9.481038574218749, -1.3000515014648437, -0.16280571289062498);(-2.779668127441406, 9.165003955078124, 4.335899206542969)
(-9.579200842285156, -1.2425906616210938, -0.277727392578125);(-2.70065947265625, 9.17458076171875, 4.3071687866210935)
(-9.442731347656249, -1.2808978881835937, -0.16280571289062498);(-2.7150246826171873, 9.220070593261719, 4.3239281982421875)
(-9.562441430664062, -1.2880804931640624, -0.24181436767578124);(-2.712630480957031, 9.265560424804686, 4.378994836425781)
(-9.481038574218749, -1.3048399047851562, -0.21308394775390624);(-2.7581203125, 9.074024291992187, 4.448426684570312)
(-9.478644372558593, -1.3096283081054687, -0.2753331909179687);(-2.786850732421875, 9.215282189941405, 4.402936853027343)
(-9.373299499511718, -1.2737152832031249, -0.16759411621093748);(-2.722207287597656, 9.045293872070312, 4.371812231445312)
(-9.507374792480467, -1.2952630981445312, -0.239420166015625);(-2.6910826660156246, 9.217676391601563, 4.371812231445312)
(-9.521740002441407, -1.2665326782226562, -0.19393033447265623);(-2.7269956909179687, 9.074024291992187, 4.582501977539062)
(-9.548076220703125, -1.3024457031249999, -0.28490999755859375);(-2.731784094238281, 9.196128576660156, 4.422090466308593)
(-9.552864624023437, -1.2904746948242187, -0.258573779296875);(-2.6623522460937497, 9.138667736816405, 4.479551306152343)
(-9.485826977539062, -1.2832920898437499, -0.19393033447265623);(-2.693476867675781, 9.217676391601563, 4.441244079589843)
(-9.514557397460937, -1.2785036865234374, -0.2609679809570312);(-2.703053674316406, 9.234435803222656, 4.496310717773437)
(-9.65342109375, -1.2713210815429687, -0.23223756103515625);(-2.664746447753906, 9.167398156738281, 4.553771557617187)
(-9.366116894531249, -1.2473790649414063, -0.25139117431640623);(-2.6862942626953124, 9.112331518554686, 4.649539624023437)
(-9.469067565917967, -1.3024457031249999, -0.18435352783203124);(-2.6527754394531247, 9.172186560058593, 4.735730883789063)
(-9.536105212402344, -1.3120225097656248, -0.17956512451171874);(-2.6671406494140624, 9.131485131835937, 4.632780212402343)
(-9.526528405761718, -1.2785036865234374, -0.3064578125);(-2.741360900878906, 9.107543115234375, 4.503493322753906)
(-9.557653027343749, -1.2785036865234374, -0.19393033447265623);(-2.7629087158203123, 9.320627062988281, 4.764461303710937)
(-9.516951599121093, -1.2785036865234374, -0.19632453613281248);(-2.6623522460937497, 9.07163009033203, 4.747701892089843)
(-9.5384994140625, -1.2665326782226562, -0.22026655273437498);(-2.7365724975585937, 9.057264880371093, 4.678270043945313)
(-9.548076220703125, -1.2425906616210938, -0.22744915771484372);(-2.8419173706054686, 9.095572106933593, 4.8506525634765625)
(-9.639055883789062, -1.2808978881835937, -0.24899697265624998);(-2.7341782958984373, 8.959102612304687, 4.843469958496094)
(-9.521740002441407, -1.3000515014648437, -0.20350714111328125);(-2.7365724975585937, 9.04050546875, 4.838681555175781)
(-9.497797985839844, -1.2665326782226562, -0.22744915771484372);(-2.8012159423828122, 8.963891015625, 4.912901806640625)
(-9.533711010742186, -1.2785036865234374, -0.258573779296875);(-2.8730419921875, 9.121908325195312, 4.96078583984375)
(-9.490615380859374, -1.2761094848632812, -0.201112939453125);(-2.9041666137695312, 9.169792358398437, 4.735730883789063)
(-9.651026892089844, -1.3335703247070312, -0.19393033447265623);(-2.7078420776367187, 9.076418493652342, 4.7764323120117185)
(-9.545682019042967, -1.3096283081054687, -0.29927520751953124);(-2.7533319091796873, 9.052476477050782, 4.857835168457031)
(-9.572018237304688, -1.2928688964843749, -0.17956512451171874);(-2.729389892578125, 9.215282189941405, 4.879382983398437)
(-9.411606726074218, -1.24498486328125, -0.24899697265624998);(-2.8730419921875, 9.095572106933593, 4.838681555175781)
(-9.526528405761718, -1.3215993164062498, -0.29448680419921874);(-3.1699229980468746, 8.975862023925782, 4.685452648925781)
(-9.519345800781249, -1.2617442749023438, -0.22744915771484372);(-2.6240450195312497, 9.07163009033203, 4.944026428222656)
(-9.488221179199218, -1.2785036865234374, -0.1771709228515625);(-2.693476867675781, 9.394847314453125, 4.910507604980468)
(-9.358934289550781, -1.3335703247070312, -0.2059013427734375);(-2.779668127441406, 9.282319836425781, 4.84586416015625)
(-9.572018237304688, -1.3048399047851562, -0.21068974609375);(-2.636016027832031, 9.047688073730468, 4.838681555175781)
(-9.397241516113281, -1.3383587280273437, -0.40940848388671874);(-2.849099975585937, 9.121908325195312, 5.0206408813476555)
(-9.5384994140625, -1.350329736328125, -0.201112939453125);(-2.980781066894531, 9.07163009033203, 4.800374328613281)
(-9.595960253906249, -1.2856862915039062, -0.22266075439453123);(-3.1579519897460937, 8.99501563720703, 4.8123453369140625)
(-9.464279162597656, -1.2808978881835937, -0.18914193115234373);(-2.961627453613281, 8.94473740234375, 4.855440966796874)
(-9.481038574218749, -1.350329736328125, -0.277727392578125);(-3.071760729980469, 8.86094034423828, 4.716577270507813)
